hashtag,total_views,total_likes,total_comments,top_video_url
LearnGraph,3794123,53173,0,https://www.youtube.com/watch?v=aBKvxpTdcLU
EdTech,174387,3113,116,https://www.youtube.com/watch?v=okJYsMi2_jk
OpenEducation,1059,16,0,https://www.youtube.com/watch?v=WZQXGBuAHY8
FutureOfEducation,366,16,0,https://www.youtube.com/watch?v=JxTGOkbRbHg
PersonalizedLearning,210257,1407,13,https://www.youtube.com/watch?v=6oLNLCO0vfI
LifelongLearning,247782,5216,267,https://www.youtube.com/watch?v=TnnG9xAqBkI
KnowledgeMapping,4414,56,5,https://www.youtube.com/watch?v=6DL7ujRV-XU
PeerLearning,706,10,0,https://www.youtube.com/watch?v=F3br5bABM-g
LearningCommunities,481117,2595,37,https://www.youtube.com/watch?v=r--tAcsrI48
HowWeLearn,709816,6206,67,https://www.youtube.com/watch?v=wlaG99awCD8
AIinEducation,625,6,0,https://www.youtube.com/watch?v=NDaZ997ddP0
LearningAnalytics,42089,463,18,https://www.youtube.com/watch?v=KpGtax2RBVY
Web3Education,93,8,7,https://www.youtube.com/watch?v=gGRaERKRSNU
DecentralizedLearning,992458,32990,1207,https://www.youtube.com/watch?v=5BsB3-QlRaw
SemanticWeb,1078920,20288,1646,https://www.youtube.com/watch?v=V6BR9DrmUQA
KnowledgeGraph,0,0,0,
MentorshipMatters,0,0,0,
CognitiveScience,104491,2012,60,https://www.youtube.com/watch?v=q0xfiVq-I0I
Metacognition,0,0,0,
BlueskySocial,0,0,0,
teachers,27165002,1681926,16410,https://www.youtube.com/watch?v=9mcxdaZMlB8
AIMentor,192,13,4,https://www.youtube.com/watch?v=HLKHojuReBs
Education,0,0,0,
